gene,log2FoldChange,AveExpr,t,pvalue,padj,B
NOTCH3                   ,1.0500729098376373,3.7673862290006013,7.648153442024902,1.5063743428454852e-10,1.913386971738188e-07,13.83310931996408
NREP-AS1                 ,-1.2417924297323433,-2.6277100260230406,-3.556988004165759,0.0007204535532130748,0.012574724783385652,-0.5908290815089003
OR1N1                    ,-1.0037294838059245,-3.541528464823923,-3.5015925864866873,0.000857716544149095,0.014048854676545243,-0.730606228260374
OR51M1                   ,-1.3443783889932832,-3.552580612223579,-5.112926763119402,3.2124733338799163e-06,0.0003062817191158731,3.794179174207648
OR52N2                   ,-1.0810387823621452,-2.874553492544285,-3.4432838927582297,0.001028842884590608,0.01579011828467778,-0.882621734788021
OR6M1                    ,-1.2955370035079032,-4.018336249935879,-5.5076542588467365,7.220119793085036e-07,0.00011192891219390407,5.0487900551615805
PEAK3                    ,1.00914842392266,-1.8198706886525373,3.6644593905861322,0.0005114739174813225,0.009995413215272262,-0.2707185540600454
PLCZ1                    ,-1.1504593809345096,-2.387908116236249,-3.81876162984237,0.00030981057415221296,0.007146515036799963,0.09405384786192794
PPEF1-AS1                ,-1.0773881863890504,-3.6643442597902944,-4.240436007562756,7.468860525800753e-05,0.002728516156386971,1.2457863514193637
PVALEF                   ,1.0706458776058398,-0.37142298294033366,6.777850988659931,4.947506035684282e-09,2.9517120857743073e-06,9.847227586459283
RNA28SN3                 ,1.120085671818856,10.58346120760913,3.7212125844536654,0.0004258881380956648,0.008905879620634572,-0.4012665238132671
RNA5-8SN2                ,1.3744751580123886,1.7818797288136385,4.220378347297675,8.004790754662328e-05,0.0028498792111716436,1.399200423831319
RNA5-8SN3                ,1.5314075740414883,3.2082881657895377,4.7299347010431205,1.3164817243347261e-05,0.0008150595027893739,3.0134392473481473
RNA5-8SN4                ,1.7191283392732255,3.210954100428077,5.069098221517593,3.7829067700095956e-06,0.000347216170106988,4.19056343939941
RNF224                   ,1.2341357654288394,-1.2825694884748788,6.313771806068405,3.1277477507971534e-08,1.2616451334839508e-05,7.926762848158321
RNY4                     ,1.1546194060028014,-2.92299789535061,4.236661113257697,7.5669962350138e-05,0.0027385849609366116,1.2428887325331734
SAMD7                    ,-1.028706660456217,-3.880518226527858,-3.636150257298166,0.0005600763710406266,0.010556997216895986,-0.3781405072525885
SELE                     ,-1.3986364934715325,-0.3568873002848574,-3.0913757797058254,0.002970485459390348,0.029649134461078412,-1.7294032520696003
SLC30A8                  ,-1.0254764167501769,-2.1042883417541542,-4.503604736196584,2.9676278103096587e-05,0.0014885772313216958,2.026894415338673
SLC34A3                  ,1.2018815415129527,0.6460052073779017,6.629771419552022,8.929085893787405e-09,4.738222248756385e-06,9.644176689220151
SLC9A4                   ,-1.2315142946266744,-3.563393298981115,-4.4259895789265995,3.906160558549295e-05,0.001805269696636585,1.768981786079383
SNORA20                  ,1.0752669141277098,0.2138319075232608,4.644494153804131,1.792738727008777e-05,0.0010098838356895222,2.7505800321134055
SNORA2C                  ,1.1101010205515307,0.016410223252478786,4.977744428599262,5.309834224110915e-06,0.00043558340085123206,3.8148849267009357
SNORA54                  ,1.7618906846219036,2.967535651980139,5.266000670619427,1.8083508062073945e-06,0.00020870021025751507,4.893792301434293
SNORA68                  ,1.3502013599182103,2.0175228008290382,4.620321907603093,1.9555706684134308e-05,0.0010815197246111295,2.690574483678617
SNORA71D                 ,1.1419299193642787,0.001486379991903053,3.814040141767488,0.0003146504097327842,0.007220090054567664,0.20792922887555232
SNORA80A                 ,1.0327979400688723,0.16885879192660533,3.6415384488777525,0.000550498677432705,0.01047676941642832,-0.2844620032607663
SNORD3B-1                ,1.3944076973074067,5.972514347530733,4.316485801596809,5.7351437064185896e-05,0.0023090697196721716,1.519166791358117
SNORD3B-2                ,1.0984710890013876,5.568183514532333,5.261137391336113,1.8418278099009966e-06,0.0002114396846724829,4.801979733105913
SNORD3C                  ,1.031452413288556,6.71599709078519,4.545044202824955,2.5604989315371443e-05,0.0013425060709481571,2.2697877179991037
SNORD3D                  ,1.149837863636849,6.7747335451369235,4.358063754348107,4.959472998371359e-05,0.002102090514358134,1.6413504714597824
